User|Def Acct|Admin|Cluster|Account|Partition|Share|MaxJobs|MaxNodes|MaxCPUs|MaxSubmit|MaxWall|MaxCPUMins|QOS|Def QOS
kgraim|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
kho|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
khyatt|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
knelson|scc|None|slurm_cluster|scc||1|||||||gen,ib,preempt,scc|gen
kpatil|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
ksarkar|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
ksokolova|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
ksu|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
ksuresh|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
kunchen|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
kvantilburg|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
kyao|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
landerson|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
lbershadsky|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
lduong|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
lgarrison|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
lgray|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
lgreengard|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
ljia|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
llangreth|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
llevasseur|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
llu|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
lmuechler|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
lperez|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
ltazairt|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
lwang|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
lyung|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
magland|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
mansdell|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
mavdeeva|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
mbarot|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
mbedell|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
mberger|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
mcantiello|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
mcharlebois|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
mclaassen|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
mcranmer|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
meickenberg|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
mfishman|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
mgabitto|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
mgabrie|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
mhasselfield|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
mkalthoff|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
mklett|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
mlange|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
mlek|info|None|slurm_cluster|info||1|||||||gen,ib,info,preempt|gen
mli|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
mmallardi|info|None|slurm_cluster|info||1|||||||gen,ib,info,preempt|gen
mmedvidovic|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
mness|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
mobrien|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
mokounkova|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
morr|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
mqin|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
mrachh|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
mrenzo|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
mroesner|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
mshelley|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
msmith|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
mspivak|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
mstoudenmire|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
mweinberg|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
mwijngaarden|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
mzingl|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
nastrakhantsev|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
natalia|info|None|slurm_cluster|info||1|||||||gen,ib,info,preempt|gen
nchua|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
nlo|info|None|slurm_cluster|info||1|||||||gen,ib,info,preempt|gen
nmanger|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
noppenheimer|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
npanithanpaisal|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
nparthasarathy|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
nsauerwald|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
nshah|info|None|slurm_cluster|info||1|||||||gen,ib,info,preempt|gen
nsmith|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
ntrikoupis|scc|None|slurm_cluster|scc||1|||||||gen,ib,preempt,scc|gen
ogt|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
omarchenko|info|None|slurm_cluster|info||1|||||||gen,ib,info,preempt|gen
oparcollet|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
parmitage|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
pdumitrescu|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
pfiquet|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
pgunn|scc|None|slurm_cluster|scc||1|||||||gen,ib,preempt,scc|gen
plunts|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
pmiller|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
pwong|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
qchance|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
rangan|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
rangus|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
rbjornson|scc|None|slurm_cluster|scc||1|||||||gen,ib,preempt,scc|gen
rblackwell|scc|None|slurm_cluster|scc||1|||||||gen,ib,preempt,scc|gen
rcochrane|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
renfrew|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
rfarhadifar|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
rluger|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
rmarini|info|None|slurm_cluster|info||1|||||||gen,ib,info,preempt|gen
root|scc|Administrator|slurm_cluster|scc||1|||||||gen,ib,preempt|gen
root|scc|Administrator|slurm_cluster|root||1|||||||gen,ib,preempt|gen
rradhakrishnan|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
rrana|info|None|slurm_cluster|info||1|||||||gen,ib,info,preempt|gen
rrossi|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
rsanderson|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
rsealfon|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
rsmith|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
rsomerville|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
rtorre|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
ry708|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
saiola|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
sappel|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
sbeck|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
schand|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
schen|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
sdutta|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
sfeeney|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
sfuerthauer|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
sgenel|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
sghaanifarashahi|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
sgolkar|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
shassan|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
sho|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
shyang|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
smallat|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
smigdal|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
snaess|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
spearson|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
sphilippov|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
sqasim|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
ssakai|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
sshvartsman|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
stonnesen|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
swalker|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
sweady|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
swhite|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
sxu|info|None|slurm_cluster|info||1|||||||gen,ib,info,preempt|gen
szhang|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
taraki|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
taskham|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
tberkelbach|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
tcallister|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
tdavid|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
tgavrilchenko|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
thamamsy|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
tlangford|scc|None|slurm_cluster|scc||1|||||||gen,ib,preempt,scc|gen
tmakinen|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
toleskiw|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
tonygao|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
tschaefer|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
tstern|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
ttesileanu|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
vgligorijevic|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
vkhristenko|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
vlimant|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
vloncar|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
vmulligan|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
vpandya|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
wbroderick|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
wcoulton|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
wentzell|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
wfarr|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
wwong|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
wyan|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
wzhou|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
xdong|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
xdu|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
xhuang|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
xichen|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
xwang|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
ybahroun|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
ycohen|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
yhe|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
yhezaveh|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
yinli|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
yjiang|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
ykora|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
yliu|scc|None|slurm_cluster|scc||1|||||||gen,ib,preempt,scc|gen
yschiou|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
yshih|ccm|None|slurm_cluster|ccm||1|||||||ccm,gen,ib,preempt|gen
ytschinkel|other|None|slurm_cluster|other||1|||||||gen,ib,other,preempt|gen
yuanwang|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
yyoung19|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
yyuan|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
yzhou|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
zkadkhodaie|ccn|None|slurm_cluster|ccn||1|||||||ccn,gen,ib,preempt|gen
zlin|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
zwhipps|cca|None|slurm_cluster|cca||1|||||||cca,gen,ib,preempt|gen
zxiao|ccq|None|slurm_cluster|ccq||1|||||||ccq,gen,ib,preempt|gen
zzhang|ccb|None|slurm_cluster|ccb||1|||||||ccb,gen,ib,preempt|gen
